Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
AALBORG UNIV LIBR	DAU	EU	Academic	1	1	0	1	0	1	0	0	0:00:00	0:00:00	0:00:00
ABILENE PUB LIBR	TXB	TX	Public	3	0	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
ADA COMMUN LIBR	ZRK	ID	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
AIRWAY HEIGHTS CORR CTR LIBR	XQQ	WA	State or Municipal Governments	18	18	0	9	9	0	9	0	0:16:05	0:16:05	0:00:00
ALACHUA CNTY LIBR DIST	FMG	FL	Public	8	8	0	5	5	0	3	0	1:14:24	1:14:24	0:00:00
ALASKA 1-800	ALASK	AK	State or Municipal Governments	4	4	0	1	1	0	3	0	0:00:00	0:00:00	0:00:00
ALLEN CNTY PUB LIBR	IMF	IN	Public	5	5	0	2	2	0	3	0	0:12:00	0:12:00	0:00:00
ALLEN PUB LIBR	TOP	TX	Public	1	0	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
ALPINE PUB LIB	TXAPL	TX	Public	1	0	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
ANACORTES PUB LIBR	XFG	WA	Public	4	4	0	2	2	0	2	0	1:00:00	1:00:00	0:00:00
ANDERSON CNTY LIBR	SAL	SC	Public	2	2	0	1	1	0	1	0	3:00:00	3:00:00	0:00:00
ANDERSON PUB LIBR	IAM	IN	Public	3	3	0	2	2	0	1	0	0:12:00	0:12:00	0:00:00
ARAPAHOE LIBR DIST	CO2	CO	Public	3	3	0	2	2	0	1	0	0:00:00	0:00:00	0:00:00
ARLINGTON HEIGHTS MEM LIBR	JBL	IL	Public	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
ASOTIN CNTY LIBR	XYT	WA	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
