Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
COLORADO STATE UNIV FT COLLINS	COF	CO	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COLUMBIA CNTY RURAL LIBR	WACCR	WA	Public	5	5	0	3	3	0	1	0	2:16:05	2:16:05	0:00:00
COLUMBUS METROP LIBR	OCO	OH	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
COMMUNITY COLLEGES OF SPOKANE	BV1	WA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
COMMUNITY LIBR NETWORK	K#T	ID	Public	8	8	0	5	5	0	3	0	1:14:24	1:14:24	0:00:00
COMMUNITY LIBR NETWORK@POST FALLS	P9F	ID	Public	12	12	0	5	5	0	7	0	0:14:24	0:14:24	0:00:00
CONCORD PUB LIBR	QYA	NH	Public	1	1	0	1	1	0	0	0	5:00:00	5:00:00	0:00:00
CONCORDIA UNIV LIBR	CDN	QC	Academic	5	5	0	0	0	0	5	0	0:00:00	0:00:00	0:00:00
CONVERSE PUB LIBR	TXCVP	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CORBAN UNIV LIBR	OOY	OR	Academic	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
CORNELL UNIV	COO	NY	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
COSHOCTON PUB LIBR	C5O	OH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COUNCIL BLUFFS PUB LIBR	IWB	IA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COZBY LIBR & COM COMMONS	WT2	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CROSSROADS BRANCH LIBR	OHCRS	OH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CUMBERLAND CNTY PUB LIBR & INFO CTR	HQB	NC	Public	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
DAKOTA CNTY LIBR SYST	DCB	MN	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DANIEL BOONE REG LIBR	ZAB	MO	Public	4	4	0	1	1	0	3	0	1:00:00	1:00:00	0:00:00
DARTMOUTH COL	DRB	NH	Major Academic Research	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
DAVIESS CNTY PUB LIBR	KOD	KY	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
DAVIS CNTY LIBR	UTD	UT	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
DAYTON METRO LIBR	DMM	OH	Public	5	5	0	1	1	0	4	0	0:00:00	0:00:00	0:00:00
DELAWARE CNTY LIBR SYST	DEL	PA	Public	10	10	0	2	2	0	8	0	0:00:00	0:00:00	0:00:00
DELTA CITY LIBR	DELTA	UT	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
DENTON PUB LIBR	QS3	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DENVER PUB LIBR	DPL	CO	Public	11	11	0	4	4	0	7	0	0:18:00	0:18:00	0:00:00
DES MOINES PUB LIBR	IOU	IA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DES PLAINES PUB LIBR	GK8	IL	Public	1	1	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
DESCHUTES PUB LIBR	DCH	OR	Public	16	16	0	8	8	0	8	0	1:09:07	1:09:07	0:00:00
DICKINSON AREA PUB LIBR	DIP	ND	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
DICKINSON COL	DKC	PA	Academic	5	5	0	0	0	0	5	0	0:00:00	0:00:00	0:00:00
DOUGLAS CNTY LIBRS	DAD	CO	Public	4	4	0	0	0	0	4	0	0:00:00	0:00:00	0:00:00
DOVER PUB LIBR	DOV	DE	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
DREW UNIV LIBR	DRU	NJ	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
